(-5.01, 2.98, 0.60)
(-5.01, 3.22, 1.60)
(-5.01, 3.22, 3.00)
(-1.47, 4.52, 4.00)
(0.33, 5.29, 5.00)
(0.33, 5.29, 6.20)
(0.33, 5.30, 7.40)
(1.30, 6.57, 8.60)
(1.89, 6.63, 9.60)
(0.12, 5.96, 10.80)
(-0.90, 9.36, 11.80)
(1.25, 6.63, 12.80)
(-2.11, 5.37, 14.00)
(-3.04, 6.73, 15.40)
(0.74, 4.66, 16.40)
(-1.57, 4.82, 17.80)
(1.59, 7.42, 18.80)
(3.03, 5.53, 19.80)
(4.65, 7.00, 21.00)
(3.63, 7.37, 22.20)
(0.03, 4.97, 23.20)
(-4.80, 10.08, 24.40)
(-3.63, 8.94, 25.60)
(-1.19, 5.58, 26.60)
(3.93, 9.86, 27.80)
(4.51, 7.37, 29.00)
(0.80, 5.06, 30.00)
(-1.70, 7.48, 31.20)
(1.96, 7.18, 32.20)
(0.20, 4.29, 33.20)
(-3.44, 7.18, 34.40)
(-1.67, 7.64, 35.40)
(1.74, 3.91, 36.40)
(5.08, 6.68, 37.60)
(5.82, 9.19, 38.60)
(1.15, 4.26, 39.80)
(-6.69, 7.37, 41.00)
(-4.05, 8.35, 42.20)
(0.55, 3.60, 43.40)
(2.89, 5.42, 44.40)
(4.31, 6.88, 45.60)
(0.99, 3.97, 46.60)
(-3.11, 5.83, 48.40)
(-1.35, 6.36, 49.40)
(-0.89, 5.93, 50.40)
(-0.50, 5.70, 51.40)
(-0.13, 5.72, 52.60)
(0.79, 5.78, 53.80)
(0.79, 5.78, 55.00)
(0.75, 5.80, 56.00)
(0.67, 5.82, 57.00)
